epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
88,666.316,0.01011,0.98222,1,0.04412,0.000173375,0.000173375,0.000173375
89,674.962,0.01458,0.98222,1,0.04806,0.000161,0.000161,0.000161
90,682.393,0.01344,0.98667,1,0.04104,0.000148625,0.000148625,0.000148625
91,691.769,0.01167,0.99111,1,0.03861,0.00013625,0.00013625,0.00013625
92,699.251,0.01225,0.98222,1,0.03799,0.000123875,0.000123875,0.000123875
93,706.493,0.01091,0.97778,1,0.03945,0.0001115,0.0001115,0.0001115
94,713.675,0.00937,0.98667,1,0.04067,9.9125e-05,9.9125e-05,9.9125e-05
95,720.92,0.0076,0.98667,1,0.04163,8.675e-05,8.675e-05,8.675e-05
96,728.356,0.01352,0.98667,1,0.03874,7.4375e-05,7.4375e-05,7.4375e-05
97,735.995,0.01084,0.99111,1,0.03702,6.2e-05,6.2e-05,6.2e-05
98,745.799,0.01155,0.99111,1,0.04367,4.9625e-05,4.9625e-05,4.9625e-05
99,754.626,0.0072,0.99111,1,0.04171,3.725e-05,3.725e-05,3.725e-05
100,763.833,0.00811,0.99111,1,0.042,2.4875e-05,2.4875e-05,2.4875e-05
