epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,759.39,0.08066,1,1,0.00134,6.9525e-05,6.9525e-05,6.9525e-05
77,769.327,0.0395,1,1,0.00116,6.6852e-05,6.6852e-05,6.6852e-05
78,779.935,0.03618,1,1,0.00196,6.4179e-05,6.4179e-05,6.4179e-05
79,790.367,0.03481,1,1,0.00402,6.1506e-05,6.1506e-05,6.1506e-05
80,800.99,0.04076,1,1,0.00324,5.8833e-05,5.8833e-05,5.8833e-05
81,812.399,0.0425,1,1,0.00203,5.616e-05,5.616e-05,5.616e-05
82,822.962,0.03443,0.99615,1,0.00393,5.3487e-05,5.3487e-05,5.3487e-05
83,834.692,0.03715,1,1,0.00229,5.0814e-05,5.0814e-05,5.0814e-05
84,845.532,0.02786,1,1,0.00151,4.8141e-05,4.8141e-05,4.8141e-05
85,856.22,0.05041,1,1,0.00177,4.5468e-05,4.5468e-05,4.5468e-05
86,866.938,0.02947,1,1,0.00275,4.2795e-05,4.2795e-05,4.2795e-05
87,877.043,0.03744,1,1,0.00212,4.0122e-05,4.0122e-05,4.0122e-05
88,887.874,0.03949,1,1,0.00131,3.7449e-05,3.7449e-05,3.7449e-05
89,898.411,0.05712,1,1,0.00137,3.4776e-05,3.4776e-05,3.4776e-05
90,909.22,0.03733,1,1,0.00195,3.2103e-05,3.2103e-05,3.2103e-05
91,923.218,0.04657,1,1,0.00325,2.943e-05,2.943e-05,2.943e-05
92,935.007,0.03013,1,1,0.00422,2.6757e-05,2.6757e-05,2.6757e-05
93,944.763,0.02932,1,1,0.00166,2.4084e-05,2.4084e-05,2.4084e-05
94,954.867,0.03881,1,1,0.0022,2.1411e-05,2.1411e-05,2.1411e-05
95,965.195,0.02786,1,1,0.00116,1.8738e-05,1.8738e-05,1.8738e-05
96,974.921,0.02876,1,1,0.00114,1.6065e-05,1.6065e-05,1.6065e-05
97,985.272,0.04356,1,1,0.00092,1.3392e-05,1.3392e-05,1.3392e-05
98,995.484,0.03645,1,1,0.00141,1.0719e-05,1.0719e-05,1.0719e-05
99,1005.61,0.02503,1,1,0.00087,8.046e-06,8.046e-06,8.046e-06
100,1015.81,0.05086,1,1,0.00127,5.373e-06,5.373e-06,5.373e-06
